fighter_id,fight_stat_id,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq,event_city,event_country,avg_ctrl_time,avg_reversals,avg_submission_att,avg_takedown_succ,avg_takedown_att,avg_sig_strikes_att,avg_total_strikes_succ,avg_total_strikes_att,avg_knockdowns,avg_finish_time,fighter_f_name,fighter_l_name
894,4850,6,894.0,1547.0,1547.0,3.0,0,5,0,182.88,185.0,182.88,0.0,42.55989048596852,19,11,0,2.0,93,4,47.0,0.0,0.0,1.0,1.0,27.0,28.0,35.0,0.0,187.0,Alessio,Sakara
895,13762,2,895.0,1799.0,895.0,3.0,0,6,0,190.5,265.0,195.58,0.0,32.878850102669404,16,5,1,0.0,0,0,531.0,0.0,0.0,1.0,2.0,95.0,107.0,173.0,0.0,300.0,Augusto,Sakai
897,7638,55,897.0,3229.0,3229.0,3.0,0,0,0,172.72,155.0,180.34,0.0,33.32511978097194,13,3,0,0.0,93,4,215.0,0.0,0.0,2.0,6.0,54.0,25.0,59.0,0.0,280.0,Lukasz,Sajewski
898,13728,1,898.0,2005.0,2005.0,3.0,0,10,0,190.5,205.0,203.2,1.0,40.9637234770705,26,17,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,49.0,Ovince,Saint Preux
899,14368,10,899.0,1643.0,899.0,3.0,0,0,0,180.34,155.0,185.42,1.0,28.268309377138944,12,1,0,1.0,2,2,320.0,0.0,0.0,5.0,9.0,182.0,123.0,210.0,0.0,284.0,Benoit,Saint Denis
900,8472,16,900.0,3616.0,3616.0,3.0,0,0,0,180.34,155.0,180.34,0.0,38.33538672142368,12,4,0,0.0,84,0,63.0,0.0,0.0,1.0,2.0,92.0,39.0,99.0,0.0,295.0,Jason,Saggo
901,8252,7,901.0,3185.0,3185.0,3.0,0,3,0,177.8,170.0,177.8,2.0,37.549623545516766,16,7,0,0.0,3,3,221.0,0.0,0.0,1.0,1.0,139.0,71.0,151.0,0.0,300.0,Tarec,Saffiedine
902,10881,4,245.0,902.0,245.0,3.0,0,5,0,185.42,185.0,198.12,0.0,37.44558521560575,9,3,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,12.0,0.0,178.0,Saparbeg,Safarov
903,11194,5,903.0,1836.0,1836.0,3.0,0,4,0,167.64,135.0,167.64,0.0,43.61670088980151,13,7,0,0.0,0,0,70.0,0.0,0.0,1.0,4.0,72.0,52.0,85.0,0.0,57.0,Frankie,Saenz
904,14188,16,904.0,1760.0,904.0,3.0,0,0,0,177.8,155.0,175.26,1.0,29.859000684462696,9,1,0,0.0,0,0,55.0,1.0,1.0,0.0,0.0,15.0,20.0,27.0,0.0,67.0,Nazim,Sadykhov
